City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Havoysund,NO,70.9963,24.6622,43.03,92,100,28.1,light rain
285,Lompoc,US,34.6391,-120.4579,52.79,83,0,21.0,clear sky
286,Geraldton,AU,-28.7667,114.6,75.61,38,0,12.66,clear sky
287,Ahipara,NZ,-35.1667,173.1667,70.29,86,100,9.26,overcast clouds
288,Pavlodar,KZ,52.3,76.95,57.0,41,40,17.9,scattered clouds
289,Nizhniy Kuranakh,RU,58.8353,125.4869,33.78,94,100,10.92,light snow
290,Asyut,EG,27.181,31.1837,77.18,10,58,2.53,broken clouds
291,Verkhniy Baskunchak,RU,48.2256,46.7217,59.61,54,96,13.24,overcast clouds
292,Vestmannaeyjar,IS,63.4427,-20.2734,41.16,74,64,11.14,broken clouds
293,Bac Lieu,VN,9.285,105.7244,87.8,63,71,17.74,broken clouds
294,Talas,TR,38.6908,35.5538,65.07,24,75,9.22,broken clouds
295,Tecpan,GT,14.7623,-90.9947,57.61,85,63,1.7,broken clouds
296,Maryville,US,35.7565,-83.9705,59.27,68,100,6.91,overcast clouds
297,Luena,AO,-11.7833,19.9167,60.78,99,97,3.87,overcast clouds
298,Port-Gentil,GA,-0.7193,8.7815,80.42,82,100,6.11,light rain
299,Mount Isa,AU,-20.7333,139.5,94.77,14,0,6.91,clear sky
300,Buala,SB,-8.145,159.5921,81.0,82,88,7.14,moderate rain
301,Inhambane,MZ,-23.865,35.3833,73.38,94,75,0.0,broken clouds
302,Anapoima,CO,4.5203,-74.5394,77.79,91,100,2.35,overcast clouds
303,Ust-Ilimsk,RU,58.0006,102.6619,45.66,71,100,15.3,light rain
304,Ihosy,MG,-22.4,46.1167,68.92,80,82,5.68,broken clouds
305,Leku,ET,6.8667,38.45,62.22,86,99,2.01,overcast clouds
306,Sinaloa,MX,25.0,-107.5,75.65,64,99,2.24,overcast clouds
307,Marawi,PH,7.9986,124.2928,78.42,76,92,7.58,overcast clouds
308,Mildura,AU,-34.2,142.15,64.36,94,100,8.05,light rain
309,Bara,NG,10.3744,10.7288,81.14,62,99,5.75,overcast clouds
310,Venice,US,27.0998,-82.4543,76.98,90,100,0.0,haze
311,Daoukro,CI,7.0591,-3.9631,72.81,97,100,3.2,overcast clouds
312,Honningsvag,NO,70.9821,25.9704,42.55,81,100,6.91,light rain
313,Astana,KZ,51.1801,71.446,53.55,54,100,20.13,overcast clouds
314,Shache,CN,38.4167,77.2406,69.24,12,2,5.55,clear sky
315,Alyangula,AU,-13.8483,136.4192,89.47,62,75,10.36,broken clouds
316,Kurchum,KZ,48.5722,83.6542,66.87,16,65,15.35,broken clouds
317,Knysna,ZA,-34.0363,23.0471,60.01,80,98,3.44,overcast clouds
318,Panama City,PA,8.9936,-79.5197,81.28,85,40,4.61,scattered clouds
319,Katsuura,JP,35.1333,140.3,62.62,75,100,10.18,overcast clouds
320,Miri,MY,4.4148,114.0089,91.54,66,40,8.05,scattered clouds
321,Magadan,RU,59.5667,150.8,27.34,79,100,4.54,overcast clouds
322,Palmas,BR,-10.2128,-48.3603,76.87,94,75,2.3,broken clouds
323,Atambua,ID,-9.1061,124.8925,83.5,68,100,1.99,overcast clouds
324,Teeli,RU,51.0333,90.2333,61.41,18,98,2.64,overcast clouds
325,Maniitsoq,GL,65.4167,-52.9,21.9,91,100,3.8,light snow
326,Mackay,AU,-21.15,149.2,82.69,83,100,12.66,light rain
327,Lorengau,PG,-2.0226,147.2712,84.34,75,73,7.16,broken clouds
328,Saint Anthony,US,45.0205,-93.218,35.38,90,100,12.66,light snow
329,La Reforma,MX,25.0833,-108.05,74.75,46,83,7.99,broken clouds
330,Sungaipenuh,ID,-2.0833,101.3833,72.0,88,97,1.79,overcast clouds
331,Uyuni,BO,-20.4597,-66.825,40.3,15,0,7.31,clear sky
332,Inverell,AU,-29.7833,151.1167,79.11,48,26,5.01,scattered clouds
333,Rincon,US,32.296,-81.2354,69.76,88,40,6.91,scattered clouds
334,Port Lincoln,AU,-34.7333,135.8667,63.19,61,89,8.59,overcast clouds
335,Meulaboh,ID,4.1363,96.1285,85.66,69,100,5.48,overcast clouds
336,Merauke,ID,-8.4667,140.3333,84.52,72,98,5.61,light rain
337,Santa Isabel,BR,-23.3156,-46.2214,58.3,97,46,1.72,scattered clouds
338,Ambajogai,IN,18.7333,76.3833,96.26,15,0,9.22,clear sky
339,Tupik,RU,54.4253,119.9327,54.23,49,100,16.49,overcast clouds
340,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,46,0,14.97,clear sky
341,Isla Vista,US,34.4133,-119.861,60.82,71,0,10.36,clear sky
342,Nikolskoye,RU,59.7035,30.7861,41.88,67,99,2.93,overcast clouds
343,Lagoa,PT,39.05,-27.9833,56.66,66,29,15.1,scattered clouds
344,Salinas,US,36.6777,-121.6555,52.56,73,0,9.22,clear sky
